epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2303.45,0.904,0.54539,0.80221,0.99137,0.9058,0.92687,0.65511,0.87362,0.52079,0.79205,0.000848969,0.000848969,0.000848969
43,2354.75,0.962,0.56115,0.79255,0.9601,0.87912,0.89461,0.63604,0.91073,0.55582,0.79136,0.000834822,0.000834822,0.000834822
44,2406.01,0.96333,0.55402,0.7918,0.99465,0.90538,0.93406,0.65529,0.82326,0.49645,0.78895,0.000820675,0.000820675,0.000820675
45,2457.77,0.92406,0.53867,0.78611,0.99466,0.90372,0.93934,0.6487,0.8609,0.50439,0.7899,0.000806528,0.000806528,0.000806528
46,2508.58,0.89235,0.53726,0.78689,0.97061,0.88818,0.92709,0.65966,0.85688,0.50313,0.79153,0.00079238,0.00079238,0.00079238
47,2560.03,0.89226,0.51281,0.80007,0.97789,0.89437,0.94015,0.67436,0.87229,0.5075,0.78495,0.000778233,0.000778233,0.000778233
48,2611.57,0.91943,0.51,0.7966,0.96457,0.88324,0.92768,0.66325,0.89029,0.51343,0.78531,0.000764086,0.000764086,0.000764086
49,2663.71,0.91338,0.51925,0.78633,0.95462,0.8787,0.90212,0.64382,0.84728,0.48864,0.78336,0.000749939,0.000749939,0.000749939
50,2714.9,0.92004,0.51504,0.79482,0.97052,0.8904,0.91687,0.65575,0.83269,0.51229,0.78787,0.000735792,0.000735792,0.000735792
51,2765.5,0.94123,0.52003,0.78784,0.9923,0.90165,0.93023,0.65897,0.93972,0.55202,0.78567,0.000721645,0.000721645,0.000721645
52,2816.43,1.00384,0.53218,0.80122,0.96014,0.87131,0.91399,0.62741,0.86942,0.50418,0.78686,0.000707498,0.000707498,0.000707498
53,2867.33,0.93443,0.49721,0.79526,0.99461,0.90563,0.95959,0.67628,0.84096,0.49362,0.78373,0.000693351,0.000693351,0.000693351
54,2917.29,0.90798,0.49016,0.79378,0.96954,0.88375,0.9154,0.65406,0.77916,0.45471,0.7846,0.000679204,0.000679204,0.000679204
55,2966.99,0.89628,0.47262,0.80089,0.95437,0.87556,0.8838,0.63545,0.83357,0.4728,0.78701,0.000665057,0.000665057,0.000665057
56,3016.61,0.87399,0.46954,0.79185,0.99381,0.90477,0.94044,0.67764,0.83251,0.46493,0.78917,0.000650909,0.000650909,0.000650909
57,3066.73,0.8884,0.46877,0.79722,0.99285,0.90174,0.94236,0.67579,0.81068,0.4735,0.79243,0.000636762,0.000636762,0.000636762
58,3118.81,0.8484,0.46733,0.78836,0.98624,0.94221,0.95293,0.68727,0.79403,0.44891,0.78677,0.000622615,0.000622615,0.000622615
59,3168.43,0.87915,0.46603,0.79335,0.99424,0.90159,0.92556,0.67528,0.78998,0.4318,0.78579,0.000608468,0.000608468,0.000608468
60,3218.67,0.85282,0.4677,0.79445,0.99393,0.90169,0.92937,0.68044,0.85795,0.46444,0.78987,0.000594321,0.000594321,0.000594321
61,3270.01,0.83909,0.46629,0.79444,0.99415,0.90153,0.95092,0.68103,0.76895,0.43541,0.78671,0.000580174,0.000580174,0.000580174
62,3321.14,0.87157,0.4459,0.78173,0.9941,0.90167,0.93449,0.66778,0.81971,0.44498,0.78688,0.000566027,0.000566027,0.000566027
63,3372.37,0.8567,0.47257,0.78609,0.98651,0.90046,0.9508,0.6661,0.78704,0.44169,0.78343,0.00055188,0.00055188,0.00055188
64,3423.9,0.83888,0.45799,0.79249,0.97767,0.89,0.92113,0.6588,0.79045,0.43042,0.78196,0.000537733,0.000537733,0.000537733
65,3474.41,0.86408,0.44799,0.78998,0.99453,0.90125,0.93369,0.66428,0.83038,0.45756,0.78556,0.000523586,0.000523586,0.000523586
66,3524.75,0.87282,0.46876,0.78478,0.99449,0.90137,0.94332,0.69032,0.76362,0.43872,0.78781,0.000509438,0.000509438,0.000509438
67,3577.98,0.86541,0.43992,0.78851,0.99398,0.90177,0.94516,0.67347,0.80146,0.42743,0.78916,0.000495291,0.000495291,0.000495291
68,3629.15,0.83467,0.44,0.78927,0.97246,0.89063,0.9382,0.67599,0.77594,0.42731,0.78765,0.000481144,0.000481144,0.000481144
69,3680.47,0.82601,0.42622,0.78517,0.97394,0.89023,0.91326,0.6728,0.77988,0.41814,0.78807,0.000466997,0.000466997,0.000466997
70,3732.4,0.81159,0.434,0.77386,0.99326,0.90148,0.93146,0.68169,0.7928,0.43259,0.78464,0.00045285,0.00045285,0.00045285
